secID,股票名称,题材,题材汇总,涨停原因,题材（G）,tradeDate
002021.XSHE,中捷资源,股权转让,"股权转让,缝纫机+智能物流+摘帽+重整+国企",股权转让 第一大股东玉环恒捷拟1.7更多...,壳资源 智能制造 智能物流 期货概念 高端装备 物联网 人民币贬值受益 摘帽 工业4.0 2024中报预增,2024-11-07
600121.XSHG,郑州煤电,煤炭,"能源金属 煤炭,电力体制改革,煤炭,国资 煤炭 有色金属,煤炭 电力",煤炭 1、实控人河南省国资委；公更多...,煤炭概念 稀缺资源 国企改革 安防 智能制造 地方国企改革 有色铝 河南国企改革,2024-11-07
001207.XSHE,联科科技,其他,"光通信 5G CPO,二氧化硅 炭黑 扩建纳米碳材料项目,其他",其他 轮胎助剂行业的区域龙头；专更多...,化学制品（行业） 新材料概念 2024中报预增 白炭黑 炭黑,2024-11-07
002589.XSHE,瑞康医药,医药,"医药 新型病毒防治,医药",医药 中国大陆首次进口的中和抗体更多...,牙科医疗 医疗器械概念 供应链金融 医药电商 互联网医疗 标普道琼斯A股 区块链 冷链物流 养老概念 华为概念 统一大市场 辉瑞概念 体外诊断 中医药 区块链应用,2024-11-07
000715.XSHE,中兴商业,大消费,"大消费,旅游 新零售,零售,大消费 新零售,零售 消费,消费 零售 业绩增长",大消费 公司主营商场主要分布于沈阳更多...,网络直播 新零售 电子商务 商超百货,2024-11-07
605003.XSHG,众望布艺,大消费,"纺织服装 外销,大消费",大消费 公司主营中高档装饰面料及制更多...,抗病毒面料 共同富裕示范区 人民币贬值受益,2024-11-07
600743.XSHG,华远地产,房地产,"房地产 房地产产业链,房地产",房地产 主要布局北京、天津、长沙地更多...,物业管理 智能家居 国企改革 地方国企改革 环球主题公园 住房租赁 中央政务区 首都副中心 北京国企改革,2024-11-07
002474.XSHE,榕基软件,华为产业链,"人工智能 网络安全,信创,国产软件 人工智能,国产软件 人工智能 VR&AR 传感器,华为产业链,软件 信创,人工智能 网络安全 智能电网",国产软件 国内数字政务和协同管理细分更多...,智慧政务 Web3.0 华为鲲鹏 智慧城市 国产软件 物联网 虚拟现实 电力物联网 智能电网 网络安全 华为概念 区块链 云办公 信创 在线教育 数字经济 安防 核污染防治 人工智能 福建自贸区 大数据 云计算 VPN 京东概念 数字中国 物联网平台层 VR平台 智慧党建,2024-11-07
600794.XSHG,保税科技,其他,其他,其他 公司为液体化工仓储龙头，主更多...,统一大市场 国企改革 电子商务 长三角一体化 智能物流 数字货币 数字经济 地方国企改革 航运港口 乙二醇 物流电商平台 江苏国企改革,2024-11-07
601011.XSHG,宝泰隆,煤炭,"锂电池 石墨烯 氢能源,煤炭",煤炭 黑龙江省煤化工行业龙头，国更多...,石墨电极 石墨烯 碳中和 煤化工概念 锂电池概念 黑龙江自贸区 煤炭概念 氢能源 新材料概念 碳基材料 甲醇 负极材料 粗苯,2024-11-07
600981.XSHG,汇鸿集团,国产芯片,"跨境电商 区块链 国企改革,跨境电商,一季报增长,国产芯片,跨境电商 公告 国有产权无偿划转,国企改革",国产芯片 公司参股的东方晶源ILT解更多...,乡村振兴 物业管理 室外经济 冷链物流 蚂蚁金服概念 创投 期货概念 跨境电商 三胎概念 中俄贸易概念 统一大市场 预制菜 人民币贬值受益 国企改革 一带一路 地方国企改革 危废处理 江苏国企改革,2024-11-07
601136.XSHG,首创证券,大金融,"金融 券商,证券+国企改革,金融 业绩增长,券商 金融,大金融,金融,大金融 券商",大金融 公司作为具有全牌照经营资质更多...,期货概念 2024中报预增 京津冀一体化 国企改革 北京自贸区 地方国企改革 参股基金 北京国企改革,2024-11-07
300465.XSHE,高伟达创,大金融,"大金融,数字人民币",大金融 公司为国内部分银行和金融机更多...,数字货币 移动支付 蚂蚁金服概念 互联网金融 供应链金融 区块链 物联网 大数据 文化传媒概念 国产软件 华为概念 云计算 抖音概念 数据中心 跨境支付(CIPS) 信创 ChatGPT概念 数据要素 金融科技 征信 数字中国 物联网应用层 广告营销,2024-11-07
600030.XSHG,中信证券,大金融,"大金融,券商业综合实力第一+高股息,金融 券商",大金融 中国证券行业龙头，股权业务更多...,期货概念 同花顺漂亮100 证金持股 MSCI概念 标普道琼斯A股 同花顺中特估100 高股息精选 参股基金 参股新股,2024-11-07
600318.XSHG,新力金融,大金融,"金融 供销社,大金融 供销社,供销社 金融,大金融,国企改革 大金融,国企改革",大金融 公司控股股东拟变更为辉隆投更多...,互联网金融 债转股(AMC概念) 供销社 融资租赁,2024-11-07
300377.XSHE,赢时胜创,大金融,"大金融,数字人民币,资产管理+信创",大金融 公司已向包括银行、基金公司更多...,数字货币 Web3.0 互联网金融 区块链 人工智能 国产软件 粤港澳大湾区 华为概念 信创 大数据 机器人概念 华为鲲鹏 人力资源服务 金融科技 国产替代,2024-11-07
002908.XSHE,德生科技,国产软件,"数据要素 数字货币,一卡通+华为+超跌反弹,数据要素 智慧城市 华为产业链,数字政务 数据要素 华为鸿蒙,数据要素 数字经济 人工智能,数字经济 人工智能 智慧政务 时空大数据,国产软件,数据要素,金融科技 金融 AI+医疗 人工智能,数据要素 数字经济 互联网医疗",国产软件 1、国内人力资源社会保障行更多...,数据确权 数据要素 智慧政务 大数据 移动支付 农村电商 乡村振兴 区块链 数字货币 智慧城市 数字经济 电子身份证 职业教育 鸿蒙概念 人工智能 华为概念 AI语料 云计算 人力资源服务 数字中国 金融IC,2024-11-07
002568.XSHE,百润股份,大消费,"食品 消费 业绩增长,大消费,年报预增 食品",大消费 国内预调鸡尾酒龙头，国内预更多...,超级品牌 电子商务 长三角一体化 标普道琼斯A股 MSCI概念 新零售 抖音小店 鸡尾酒 调味品,2024-11-07
000700.XSHE,模塑科技,新能源汽车,"新能源汽车,汽车产业链 汽车零部件,汽车零部件 华为汽车,新能源汽车 汽车零部件 特斯拉,汽车产业链",新能源汽车 公司北汽模塑重庆工厂为问界更多...,小米汽车 华为汽车 特斯拉概念 民营医院 恒大概念 参股银行 小米概念 新能源汽车 蔚来汽车概念 北汽新能源,2024-11-07
600197.XSHG,伊力特,大消费,"白酒 食品饮料 消费 一季报增长 国企改革,大消费,白酒",大消费 新疆地区白酒龙头(选股宝)更多...,白酒概念 新疆振兴 国企改革 标普道琼斯A股 大消费 地方国企改革 新疆建设兵团,2024-11-07
002140.XSHE,东华科技,氢能源/燃料电池,"氢能源/燃料电池,环保 土壤修复 固废处理",氢能源/燃料电池 1、公司环保设施运营等实业更多...,可降解塑料 固废处理 节能环保 煤化工概念 供应链金融 PPP概念 污水处理 一带一路 氢能源 医疗废物处理 盐湖提锂 光热发电 锂电池概念 钛白粉概念 土壤修复 国企改革 POE胶膜 乙二醇,2024-11-07
300499.XSHE,高澜股份,东数西算/算力,"东数西算/算力,储能 数据中心 液冷服务器 算力",东数西算/算力 公司称旗下服务器液冷业务拥更多...,液冷服务器 数据中心 充电桩 风电 新能源汽车 军工 锂电池概念 宁德时代概念 专精特新 储能 柔性直流输电 比亚迪概念 特高压 一带一路 可控核聚变 人造太阳,2024-11-07
000627.XSHE,天茂集团,大金融,"其他,保险 金融,大金融,保险,保险+养老+参股券商",大金融 母公司作为投资控股型公司，更多...,互联网保险 养老概念 MSCI概念 标普道琼斯A股,2024-11-07
000701.XSHE,厦门信达,福建自贸/海西概念,"新能源汽车,福建自贸 电商 消费,低空经济 小米汽车,小米概念 低空经济,福建自贸 汽车销售,小米汽车 低空经济,小米汽车 数字经济 福建,福建自贸/海西概念,一带一路 汽车销售",福建自贸/海西概念 实控人厦门市国资委；公司已更多...,海峡两岸 无人零售 新零售 节能照明 物联网 移动支付 电子商务 石墨烯 MiniLED 小米概念 智慧城市 AIGC概念 国企改革 福建自贸区 金属镍 小金属概念 统一大市场 智能物流 低空经济 无人机 互联网金融 小米汽车 金属铜 军工信息化 地方国企改革 二手车 铁矿石 元器件 电子车牌 汽车关税下调 物联网感知层 电子标签,2024-11-07
601608.XSHG,中信重工,国企改革,国企改革,国企改革 实控人为中信集团；公司为国更多...,一带一路 核电 高端装备 节能环保 机器人概念 工业4.0 军工 风电 超级电容 F5G概念 中字头股票 国企改革 一体化压铸 同花顺中特估100 新型工业化 华为概念 智能制造 消防装备 节能减排,2024-11-07
002496.XSHE,辉丰股份,大农业,"农业 天然气,农药 农业 氢能源,农药 农业,农药 公告 子公司与中能建氢能源有限公司签订氢氨醇绿色能源项目合作协议,大农业,农业,业绩增长",大农业 1、大型农药生产企业，与安更多...,化学制品（行业） 农村电商 医疗废物处理 乡村振兴 电子商务 天然气 氢能源 2024中报预增 草地贪夜蛾防治 LNG加气站 参股民营银行,2024-11-07
603719.XSHG,良品铺子,大消费,"食品饮料,大消费,食品饮料 消费",大消费 公司为高端休闲食品龙头，将更多...,新零售 电子商务 网络直播 网红经济 大消费,2024-11-07
300892.XSHE,品渥食品,大消费,"大消费,食品 消费,食品饮料 消费",大消费 进口啤酒领域龙头，此外旗下更多...,乳业 社区团购 新零售 啤酒概念 网络直播 电子商务 大消费 人民币升值,2024-11-07
601066.XSHG,中信建投,大金融,"大金融,证券+国资背景",大金融 投行业务是公司的核心和优势更多...,北交所概念 腾讯概念 同花顺中特估100 标普道琼斯A股 MSCI概念 北京自贸区 参股基金 参股新股,2024-11-07
603099.XSHG,长白山,大消费,"旅游 消费,大消费,东北旅游+国企改革+半年报增长,旅游 体育 消费,旅游 消费 业绩预增,旅游 冰雪产业,旅游",大消费 长白山保护开发区最大的旅游更多...,旅游概念 冰雪产业 特色小镇 网约车 体育产业 国企改革 2024中报预增 地方国企改革,2024-11-07
000563.XSHE,陕国投,大金融,"大金融,债转股 · AMC",大金融 公司持股陕西省AMC股份(更多...,信托概念 债转股(AMC概念) 参股保险 标普道琼斯A股 国企改革 证金持股 地方国企改革 陕西自贸区,2024-11-07
600559.XSHG,老白干酒,大消费,"大消费,白酒",大消费 河北地区优质白酒企业，旗下更多...,白酒概念 国企改革 标普道琼斯A股 MSCI概念 地方国企改革 老字号,2024-11-07
601933.XSHG,永辉超市,大消费,"股权转让 公告,零售 消费,第一大股东将变更为骏才国际+零售,大消费",大消费 名创优品拟63亿现金收购公更多...,社区团购 预制菜 新零售 跨境电商 MSCI概念 腾讯概念 标普道琼斯A股 统一大市场 乡村振兴 电子商务 冷链物流 福建自贸区 大消费 京东概念 商超百货 便利店 参股民营银行,2024-11-07
000750.XSHE,国海证券,大金融,"大金融,证券+广西国资,金融 券商,券商",大金融 广西市场拥有证券营业网点最更多...,期货概念 国企改革 MSCI概念 标普道琼斯A股 地方国企改革 参股基金,2024-11-07
300266.XSHE,兴源环境,股权转让,"股权转让,环保",股权转让 中国压滤机行业领军企业；公更多...,土壤修复 污水处理 PPP概念 节能环保 乡村振兴 固废处理 共同富裕示范区 水利 储能 国企改革 碳交易 地方国企改革 美丽中国 浙江国企改革,2024-11-07
603399.XSHG,永杉锂业,锂电池,"有色 钼 业绩扭亏为盈 周期股,锂电池,锂电池 有色",锂电池 公司主要从事钼炉料等钼系列更多...,锂电池概念 小金属概念 2024中报预增 文化传媒概念 锂电原料 锂矿 影视娱乐 钼,2024-11-07
600696.XSHG,岩石股份,大消费,"白酒 资产重组,其他,资产重组,大消费,白酒+电商,食品饮料,白酒 食品饮料,白酒",大消费 创新型白酒企业的代表；公司更多...,,2024-11-07
603589.XSHG,口子窖,白酒,白酒,白酒 安徽地区优质白酒企业（安徽更多...,白酒概念 电子商务 高股息精选 标普道琼斯A股 MSCI概念 老字号,2024-11-07
300033.XSHE,同花顺创,大金融,"大金融,金融信息服务",大金融 国内领先的互联网金融信息服更多...,互联网金融 AI语料 AIGC概念 电子商务 大数据 机器人概念 人工智能 国产软件 MSCI概念 ChatGPT概念 智能医疗 数据要素 证金持股 鸿蒙概念 金融科技 服务机器人 智能金融,2024-11-07
601628.XSHG,中国人寿,大金融,大金融,大金融 公司是中国寿险市场领导者，更多...,蚂蚁金服概念 参股银行 证金持股 中字头股票 MSCI概念 标普道琼斯A股 国企改革 同花顺中特估100,2024-11-07
000568.XSHE,泸州老窖,大消费,"大消费,白酒",大消费 国内中高端白酒龙头企业之一更多...,白酒概念 超级品牌 参股券商 MSCI概念 标普道琼斯A股 同花顺漂亮100 证金持股 国企改革 大消费 地方国企改革 成渝特区 老字号,2024-11-07
300561.XSHE,汇金科技,大金融,"金融科技+国资拟入主,国产软件 数字经济 人工智能,大金融,金融科技 金融 信创,金融",大金融 国内金融行业内控风险管理整更多...,互联网金融 人脸识别 网络安全 物联网 人工智能 区块链 国产软件 横琴新区 信创 百度概念 国产操作系统 密码安全管理 金融科技 无人银行,2024-11-07
603198.XSHG,迎驾贡酒,大消费,"大消费,白酒 食品饮料,白酒",大消费 徽酒的主要代表企业之一(选更多...,白酒概念 电子商务 标普道琼斯A股 老字号,2024-11-07
002542.XSHE,中化岩土,飞行汽车/eVTOL,"基建,基建 算力 AI服务器,低空经济 数据要素 短剧 国企改革,基建 房地产产业链,飞行汽车/eVTOL,西部大开发",飞行汽车/eVTOL 全资子公司浙江中青国际航空更多...,互联网金融 新型城镇化 特色小镇 煤化工概念 文化传媒概念 通用航空 雄安新区 芯片概念 标普道琼斯A股 地下管网 一带一路 国企改革 PPP概念 数据中心 云计算 低空经济 地方国企改革 影视娱乐 四川国企改革,2024-11-07
002178.XSHE,延华智能,华为产业链,"信创 数据中心,车联网,数据中心 智慧城市,其他,华为鸿蒙 数据中心 智慧城市 养老 华字辈,华为鸿蒙 智慧城市 数据中心,鸿蒙 数据中心 数据要素 智慧城市 养老,华为鸿蒙,车联网 智慧医疗 云计算 华为,华为产业链,华为鸿蒙 数字经济,智慧城市 数据中心 业绩增长,养老产业,智慧城市 智慧医疗 云计算,更多...",华为产业链 1、智慧城市、智慧医疗综合更多...,智慧政务 家庭医生 数据要素 智能交通 智能医疗 智慧城市 养老概念 数字孪生 物联网 数据中心 机器人概念 工业4.0 大数据 碳中和 华为概念 医疗器械概念 安防 互联网医疗 鸿蒙概念 智能建筑,2024-11-07
002428.XSHE,云南锗业,光伏,"有色金属 军工 半导体,光通信,其他,有色 锗 半导体材料,光伏,有色 锗 稀缺资源,有色 锗,业绩增长",光伏 1、公司为国内锗产业链龙头更多...,稀缺资源 小金属概念 军工 光伏概念 芯片概念 第三代半导体 华为概念 砷化镓 稀有金属,2024-11-07
600678.XSHG,四川金顶,西部大开发,"无人驾驶 水泥建材 国企改革,氢能源 充电桩 无人驾驶 公告 间接控股股东变更,基建 水泥,大基建,无人驾驶 氢能源 充电桩,无人驾驶 水泥建材,氢能源 无人驾驶 水泥,无人驾驶 国企改革,氢能源,氢能源 石灰石,西部大开发",西部大开发 1、公司主营石灰石，主要客更多...,水泥概念 氢能源 工业互联网 新能源汽车 充电桩 国企改革 无人驾驶 工业4.0 机器人概念 西部开发 地方国企改革 成渝特区 河南国企改革,2024-11-07
000995.XSHE,皇台酒业,大消费,"大消费,摘帽,白酒 葡萄酒 农业种植,摘帽 白酒,白酒+葡萄酒+终止酱酒投资计划,白酒",大消费 甘肃小型白酒企业；公司拥有更多...,乡村振兴 网络直播 农业种植 白酒概念 摘帽 电子商务,2024-11-07
603290.XSHG,斯达半导,国产芯片,"芯片,芯片 功率半导体 业绩增长,国产芯片",国产芯片 公司主营IGBT为主的功率更多...,汽车芯片 第三代半导体 芯片概念 新能源汽车 MSCI概念 专精特新 碳化硅 IGBT,2024-11-07
600657.XSHG,信达地产,债转股,"债转股 · AMC,房地产,债转股",债转股 · AMC 1、公司主营房地产开发，项更多...,物业管理 债转股(AMC概念) 参股保险 标普道琼斯A股 国企改革 证金持股 北京自贸区,2024-11-07
601336.XSHG,新华保险,大金融,大金融,大金融 全国性的大型寿险企业(选股更多...,证金持股 蚂蚁金服概念 互联网保险 MSCI概念 标普道琼斯A股 高股息精选,2024-11-07
002403.XSHE,爱仕达,机器人,"智能制造 机器人 家电,机器人 家电 物流 跨境电商,机器人 减速器,机器人 家电 物流,机器人 家电 C2M,智能制造 机器人 家电 跨境电商,机器人,智能制造",机器人 1、公司主营包括六轴多关节更多...,减速器 工业4.0 新型工业化 土地流转 家用电器 互联网保险 机器人概念 新零售 独角兽概念 特斯拉概念 智能物流 人民币贬值受益 参股新三板 机器视觉 参股保险 跨境电商 电子商务 网络直播 工业互联网 智能制造 C2M概念 共同富裕示范区 2024中报预增 工业机器人 空气净化,2024-11-05
002995.XSHE,天地在线,传媒,"其他,财税改革,人工智能 虚拟数字人,人工智能 短视频 ChatGPT,元宇宙 虚拟现实 腾讯合作 债券重组,ChatGPT 人工智能 传媒,传媒,传媒 短剧 虚拟数字人 数字营销,人工智能 传媒,元宇宙 虚拟数字人 腾讯合作",传媒 公司拟购佳投集团100%股更多...,Web3.0 短剧游戏 快手概念 抖音概念 腾讯概念 云办公 网络直播 虚拟数字人 元宇宙 预制菜 文化传媒概念 拼多多概念 数字经济 人工智能 百度概念 财税数字化 数字营销 SAAS,2024-11-05
300120.XSHE,经纬辉开,国产芯片,"芯片,PET铜箔 OLED,国产芯片,公告",国产芯片 公司拟以5800万元受让诺更多...,PET铜箔 柔性屏(折叠屏) 先进封装 特高压 OLED 芯片概念 柔性直流输电 人民币贬值受益 风电 集成电路概念 智慧灯杆 电子车牌 触摸屏,2024-11-05
600363.XSHG,联创光电,手机产业链,"手机产业链,军工",手机产业链 1、老牌军工企业，光电子占更多...,OLED 超导概念 低空经济 节能照明 虚拟现实 参股新三板 柔性屏(折叠屏) 新能源汽车 华为概念 标普道琼斯A股 军工 可控核聚变 核电 激光 VR设备 虹膜识别 全息手机 体感交互 元器件,2024-11-05
600629.XSHG,华建集团,上海国企改革,"上海自由贸易港 人工智能,上海国企改革,基建 人工智能,基建 国企改革 人工智能,房地产,大基建 人工智能,上海 大基建 人工智能",上海国企改革 上海国资委旗下，中国最具影更多...,上海国企改革 装配式建筑 新型城镇化 雄安新区 PPP概念 一带一路 水利 参股券商 地下管网 建筑节能 国企改革 人工智能 创投 碳中和 数字孪生 乡村振兴 数字经济 地方国企改革,2024-11-05
688622.XSHG,禾信仪器科,环保,环保,公告 公司拟收购量羲技术控股权，更多...,食品安全 专精特新 PM2.5 医疗器械概念 粤港澳大湾区 碳中和,2024-11-05
002795.XSHE,永和智控,光伏,"医疗器械 通用设备,其他,光伏,光伏 TOPCON电池,光伏 BC电池 医疗器械,光伏 医院",光伏 子公司普乐泰兴主要从事超高更多...,智能制造 TOPCON电池 人民币贬值受益 民营医院 医疗器械概念 光伏概念 BC电池,2024-11-05
603666.XSHG,亿嘉和,机器人,"军工 无人机 机器人 人工智能,机器人 无人机,机器人 特高压 泛在电力物联网,机器人 无人机 充电桩,机器人,智能制造",机器人 机器人智能应用服务商，特种更多...,新型工业化 多模态AI 机器视觉 机器人概念 无人机 标普道琼斯A股 专精特新 充电桩 医疗器械概念 人工智能 传感器 人形机器人 低空经济 AIGC概念 医疗机器人,2024-11-05
000576.XSHE,甘化科工,军工,"军工 芯片 第三代半导体,军工 芯片 半导体,军工",军工 控股子公司沈阳含能拥有军工更多...,军工 军民融合 新材料概念 第三代半导体 参股新股,2024-11-05
300581.XSHE,晨曦航空,军工,军工,军工 公司拥有军工保密资格单位证更多...,军民融合 航空发动机 通用航空 无人机 军工 专精特新 航空航天,2024-11-05
002247.XSHE,聚力文化,业绩增长,"业绩增长,房地产,公告 游戏,其他",业绩增长 装饰贴面材料行业龙头，新拓更多...,共同富裕示范区 长三角一体化 2024中报预增,2024-11-05
002743.XSHE,富煌钢构,房地产,房地产,房地产 钢结构设计制造一体化服务商更多...,装配式建筑 新型城镇化 PPP概念 雄安新区,2024-11-05
603679.XSHG,华体科技,华为产业链,"汽车产业链 无人驾驶 充电桩,卫星互联网,华为产业链 卫星互联网 华字辈,智慧灯杆+车联网+卫星导航+商业航天,华为产业链 智能驾驶,低空经济 卫星导航,华为产业链,智慧灯杆,智慧城市 光伏,华为产业链 智慧城市 数据中心 光伏,车联网 智慧灯杆 卫星导航,无人驾驶 汽车产业链",华为产业链 1、公司是华为eLTE生态更多...,车联网(车路协同) 智能交通 智慧灯杆 节能照明 新能源汽车 智慧城市 充电桩 华为概念 人工智能 卫星导航 锂电池概念 储能 东数西算(算力) 边缘计算 物联网 腾讯概念 无人驾驶 虚拟电厂 商业航天 联想概念,2024-11-05
000697.XSHE,炼石航空,军工,"低空经济,卫星互联网,ST股 摘帽 航空精密零部件,军工",军工 实控人四川省国资委，公司自更多...,大飞机 航空发动机 通用航空 无人机 军工 稀缺资源 国企改革 摘帽 人民币贬值受益 地方国企改革 航空航天 四川国企改革,2024-11-05
603758.XSHG,秦安股份,新能源汽车,"新能源汽车,新能源汽车 汽车零部件",新能源汽车 公司主要从事汽车发动机核心更多...,长安汽车概念 新能源汽车 高股息精选,2024-11-05
600239.XSHG,云南城投,债转股 · AMC,"房地产 化债 物业管理,房地产 化债 养老,房地产 业绩增长,房地产 物业管理,债转股,养老 零售,房地产 化债 养老 旅游,房地产 房地产产业链,房地产,债转股 · AMC",房地产 云南国资委控股的城投平台；更多...,物业管理 特色小镇 养老概念 供应链金融 标普道琼斯A股 工业大麻 国企改革 地方国企改革 云南国企改革,2024-11-05
000782.XSHE,恒申新材,其他,"化工 纺织服装 公告 实控人拟变更,化工 TDI 纺织服装,其他",其他 公司主营产品为锦纶6切片和更多...,化学制品（行业） 2024中报预增 军工 锦纶,2024-11-05
002047.XSHE,宝鹰股份,房地产,"建筑装饰 智慧城市,房地产 AR&VR,房地产,VRAR,建筑装饰+智慧城市+要约收购+国企+低价股,VR&AR",房地产 全国领先的综合建筑装饰工程更多...,恒大概念 装配式建筑 横琴新区 智慧城市 一带一路 标普道琼斯A股 光伏建筑一体化 元宇宙 虚拟现实 国企改革 粤港澳大湾区 地方国企改革 物联网应用层 基建工程 珠海国企改革 广东国企改革,2024-11-05
002629.XSHE,仁智股份,其他,"油服,其他",其他 公司油服业务主要为油田环保更多...,壳资源 页岩气 俄乌冲突概念 天然气 光伏概念 新材料概念 油品改革 油气开采,2024-11-05
002782.XSHE,可立克,充电桩,"充电桩,储能 充电桩 5G",充电桩 公司主要从事电子变压器和电更多...,高压快充 消费电子概念 5G 充电桩 新能源汽车 光伏概念 储能 华为概念 比亚迪概念 元器件,2024-11-05
002596.XSHE,海南瑞泽,海南自由贸易港,"海南自由贸易港,海南自由贸易港 园林,海南,其他,园林 邮轮游艇 赛马 海南,海南概念,大基建,房地产 水泥 房地产产业链,水泥 基建 博鳌论坛,房地产,生态园林 水泥 赛马",海南自由贸易港 海南本地股，主营商品混凝土更多...,新型城镇化 特色小镇 装配式建筑 PPP概念 固废处理 自由贸易港 海南自贸区 雄安新区 垃圾分类 水利 一带一路 园林开发 美丽中国,2024-11-05
000668.XSHE,荣丰控股,房地产,"医药 医疗器械,房地产 医疗器械 业绩增长,医疗器械,房地产,房地产 医疗器械",房地产 长春市地产开发商，目前仅持更多...,物业管理 网络直播 股权转让 北京自贸区,2024-11-05
002210.XSHE,飞马国际,深圳本地股,"快递物流 环保,快递物流,深圳本地股",深圳本地股 1、公司为煤炭供应链业务提更多...,统一大市场 电子商务 粤港澳大湾区 节能环保 固废处理 生物质能发电 PPP概念 绿色电力,2024-11-05
003029.XSHE,吉大正元,飞行汽车/eVTOL,"卫星互联网,人工智能 数据要素,华为鸿蒙 数字货币,网络安全 人工智能 数字经济 数据要素,鸿蒙 跨境支付 网络安全,区块链 数字经济,华为鸿蒙 数字人民币 信创,华为鸿蒙 数字货币 网络安全,国产软件,飞行汽车/eVTOL,网络安全 人工智能,军工 量子计算,国产芯片,军工 量子计算 华为,网络安全 人工智能 数据要素,量子计算,华为鸿蒙 数字货币 数字经济",飞行汽车/eVTOL 1、公司在载人航天、卫星通更多...,商业航天 数字水印 量子科技 华为概念 蚂蚁金服概念 网络安全 军工 区块链 专精特新 数字货币 数据安全 电子身份证 抖音概念 智慧政务 鸿蒙概念 信创 车联网(车路协同) 跨境支付(CIPS) 工业互联网 芯片概念 中俄贸易概念 长安汽车概念 无人驾驶 智能交通 数字经济 比亚迪概念 军工信息化 智慧城市,2024-11-05
600390.XSHG,五矿资本,大金融,"大金融,大金融 券商 信托,大金融 国企改革",大金融 公司通过五矿资本控股间接持更多...,期货概念 信托概念 参股券商 参股保险 创投 国企改革 高股息精选 央企国企改革 融资租赁 优先股概念,2024-11-05
000886.XSHE,海南高速,海南自由贸易港,"海南自由贸易港,房地产 免税 消费 年报预增 实控人变更,海南 免税,房地产 高速公路 海南,海南 免税 低空经济 房地产 旅游",海南自由贸易港 1、公司实控人海南省交通运更多...,物业管理 海南自贸区 免税店 军工 债转股(AMC概念) 国企改革 参股银行 自由贸易港 旅游概念 地方国企改革 公路建设 海南旅游岛,2024-11-05
002789.XSHE,建艺集团,其他,"其他,建筑装饰 人工智能 互联网金融,装修装饰 装配式建筑 公告 向控股孙公司增资,房地产,房地产 新型城镇化 装修装饰",房地产 国内装饰综合服务商，同时开更多...,装配式建筑 新型城镇化 恒大概念 建筑节能 创投 互联网金融 横琴新区 国企改革 人工智能 精装修 金融科技 地方国企改革 珠海国企改革 地热能 小额贷款 广东国企改革,2024-11-05
002797.XSHE,第一创业,大金融,"大金融,证券",大金融 中小型券商，有固定收益特色更多...,期货概念 区块链 MSCI概念 标普道琼斯A股 参股基金 融资租赁,2024-11-05
301378.XSHE,通达海创,国产软件,"信创,国产软件 信创 智慧政务,国产软件",国产软件 1、公司主要从事电子政务领更多...,智慧政务 信创 国产软件 人工智能 数据要素 数字经济 金融科技,2024-11-05
002323.XSHE,雅博股份,光伏,"光伏 HJT,光伏 储能 HJT,光伏 异质结电池 BIPV,光伏 公告 签约 一带一路,光伏 BIPV,光伏,光伏 储能 风光储,光伏 BIPV HJT电池,国企改革+光伏建筑一体化+HJT电池+面值退市博弈,国企改革",光伏 公司主营业务包括金属屋面围更多...,数字乡村 HJT电池 智能制造 光伏概念 一带一路 光伏建筑一体化 储能 国企改革 地方国企改革 智能建筑,2024-11-05
002405.XSHE,四维图新,无人驾驶,无人驾驶,无人驾驶 滴滴出行正在就其智能驾驶和更多...,车联网(车路协同) 胎压监测 无人驾驶 时空大数据 智能交通 卫星导航 智慧城市 特斯拉概念 汽车电子 人工智能 芯片概念 大数据 国产软件 华为汽车 国产操作系统 华为概念 标普道琼斯A股 区块链 MSCI概念 汽车芯片 MCU芯片 数据安全 参股保险 数据要素 星闪概念 智能座舱 长安汽车概念 小米汽车 低空经济 滴滴概念股 蔚来汽车概念 AI芯片 智能汽车 国产替代 遥感技术,2024-11-05
000955.XSHE,欣龙控股,海南自由贸易港,"海南自由贸易港,纺织服装 医药 海南,纺织服装 中药 龙字辈,纺织服装 中药 海南 龙字辈,纺织服装 医药医疗",海南自由贸易港 海南本地股，主营水刺、热轧更多...,民营医院 海南自贸区 健康中国 军民融合 自由贸易港 医疗器械概念 创投 中医药 埃博拉概念 海南旅游岛,2024-11-05
688660.XSHG,电气风电科,国企改革,"风电 次新股,国企改革",上海国企改革 中国最大的海上风电整机制造更多...,风电 上海国企改革 国企改革 地方国企改革 能源互联网 海上风电,2024-11-05
002506.XSHE,协鑫集成,光伏,光伏,光伏 光伏组件一级制造商；控股子更多...,TOPCON电池 HJT电池 BC电池 光伏概念 工业4.0 标普道琼斯A股 MSCI概念 集成电路概念 华为概念 储能 钒电池 钙钛矿电池 光伏建筑一体化 长三角一体化 多晶硅 太阳能,2024-11-05
603313.XSHG,梦百合,业绩增长,业绩增长,大消费 全球重要的记忆绵家居制品供更多...,C2M概念 智能家居 跨境电商 人民币贬值受益 独角兽概念 鸿蒙概念,2024-11-05
688275.XSHG,万润新能科,新能源汽车,新能源汽车,新能源汽车 公司主要生产动力电池和储能更多...,钠离子电池 固态电池 锂电池概念 比亚迪概念 宁德时代概念 专精特新 新能源汽车 储能 污水处理 磷酸铁锂,2024-11-05
