secID,名称,首次,最后,价格,连板,涨幅%,题材,涨停原因,题材（G）,tradeDate
603988.XSHG,中电电机,13:54,14:24,16.54,1,9.97,资产重组,资产重组 1、实控人拟由宁波君拓变为更多...,,2024-11-08
002992.XSHE,宝明科技,09:32,14:29,66.06,1,10.01,锂电池,锂电池 公司拥有PET复合铜箔产品更多...,PET铜箔 锂电池概念 无人机 消费电子概念 华为概念 MiniLED 小米概念 虚拟现实 比亚迪概念 新能源汽车 智能座舱 锂电原料,2024-11-08
002229.XSHE,鸿博股份,10:01,14:30,15.9,1,10.03,东数西算/算力,东数西算/算力 全资子公司英博数科是北京·更多...,数字水印 互联网彩票 算力租赁 世界杯 区块链 体育产业 人工智能 数字经济 Web3.0 云计算 东数西算(算力) ChatGPT概念 AIGC概念 元宇宙 虚拟数字人 英伟达概念 数据中心 福建自贸区 数据要素 金融IC 人民币升值,2024-11-08
002134.XSHE,天津普林,09:31,14:32,21.93,2,9.98,其他,其他 公司主要从事印制电路板的研更多...,PCB概念 柔性屏(折叠屏) 军工 大飞机 专精特新 天津自贸区,2024-11-08
688010.XSHG,福光股份科,13:29,14:33,33.36,1,20.0,光刻机（胶）,光刻机（胶） 公司向华为公司供应光学镜头更多...,安防 华为概念 专精特新 军工 军民融合 区块链 超清视频 福建自贸区,2024-11-08
600769.XSHG,祥龙电业,09:40,14:44,13.21,1,9.99,资产重组,资产重组 公司实控人武汉东湖新技术开更多...,国企改革 地方国企改革 湖北国企改革,2024-11-08
600834.XSHG,申通地铁,10:33,14:45,9.75,1,10.05,上海国企改革,上海国企改革 上海申通地铁集团旗下；公司更多...,上海国企改革 光伏建筑一体化 国企改革 充电桩 无人驾驶 EDA设计软件 轨道交通 地方国企改革,2024-11-08
000793.XSHE,华闻集团,09:32,14:46,3.33,3,9.9,海南自由贸易港,海南自由贸易港 1、公司主要从事传媒业务及更多...,信创 区块链 数字经济 文化传媒概念 参股券商 车联网(车路协同) 海南自贸区 创投 边缘计算 超清视频 标普道琼斯A股 网红经济 网络游戏 抖音概念 语音技术 网约车 债转股(AMC概念) 旅游概念 人工智能 农业种植 乡村振兴 举牌 TMT 海南旅游岛,2024-11-08
300380.XSHE,安硕信息,09:31,14:46,63.34,2,20.01,大金融,大金融 金融IT解决方案提供商，向更多...,信创 国产软件 鸿蒙概念 大数据 百度概念 华为概念 数据要素 数字经济 征信,2024-11-08
300762.XSHE,上海瀚讯,10:21,14:46,29.1,1,20.0,军工,军工 1、军用宽带通信系统主要研更多...,商业航天 军工信息化 军民融合 军工 智慧城市 国产软件 芯片概念 无人机 5G 专精特新 中国科学院系,2024-11-08
000518.XSHE,四环生物,09:54,14:47,3.4,2,10.03,医药,医药 国内最早从事生物医药的公司更多...,肝炎概念 生物医药 医疗器械概念 新型城镇化 体外诊断 登革热 抗癌 医保目录 干细胞,2024-11-08
000415.XSHE,渤海租赁,10:02,14:48,4.82,1,10.05,大金融,大金融 公司主营业务为租赁业，包括更多...,飞行汽车(eVTOL) 通用航空 低空经济 雄安新区 标普道琼斯A股 MSCI概念 集装箱 航空租赁 融资租赁 海航系,2024-11-08
600829.XSHG,人民同泰,09:59,14:48,7.71,1,9.99,医药商业,医药 黑龙江省内最大的医药商业公更多...,健康中国 民营医院 冷链物流 流感 医疗器械概念 黑龙江自贸区 振兴东北,2024-11-08
000839.XSHE,中信国安,10:03,14:51,3.95,1,10.03,国企改革,国企改革 中国中信集团旗下，公司主要更多...,人工智能 创投 文化传媒概念 虚拟现实 国企改革 摘帽 中字头股票 2024中报预增 广播电视 富媒体 VR直播 参股新股,2024-11-08
002663.XSHE,普邦股份,14:06,14:52,2.43,2,9.95,房地产,房地产 地产园林龙头；公司主要为住更多...,PPP概念 新型城镇化 污水处理 互联网金融 区块链 文化传媒概念 横琴新区 网红经济 粤港澳大湾区 养老概念 2024中报预增 数字营销 园林开发 美丽中国,2024-11-08
601606.XSHG,长城军工,14:17,14:52,14.01,1,9.97,军工,军工 安徽省国资委旗下，公司为老更多...,军民融合 军工 国企改革 新能源汽车 央企国企改革 中兵系,2024-11-08
002792.XSHE,通宇通讯,09:42,14:53,15.2,1,9.99,卫星互联网,5G 公司卫星通信相关产品重点研更多...,F5G概念 6G概念 WiFi 6 5G 华为概念 标普道琼斯A股 中俄贸易概念 汽车电子 华为汽车 储能 无人驾驶 卫星导航 共封装光学(CPO) 毫米波雷达 一带一路 杭州亚运会 换电概念 虚拟电厂 铜缆高速连接 商业航天 射频器 基站天线 基站射频 通信基站,2024-11-08
000795.XSHE,英洛华,09:35,14:55,13.27,7,10.03,公告,公告 1、公司1.2亿元收购全方更多...,稀土永磁 小金属概念 新材料概念 新能源汽车 苹果概念 军工 养老概念 比亚迪概念 专精特新 风电 减速器 医疗器械概念 机器人概念 2024中报预增,2024-11-08
002374.XSHE,中锐股份,09:25,14:55,3.5,2,10.06,大消费,大消费 公司设立子公司贵宴樽酒业(更多...,区块链 PPP概念 污水处理 白酒概念 海绵城市 园林开发 美丽中国,2024-11-08
600760.XSHG,中航沈飞,09:56,14:55,61.07,1,10.0,军工,军工 公司是沈飞集团整体上市平台更多...,大飞机 军民融合 军工 高端装备 MSCI概念 标普道琼斯A股 无人机 同花顺漂亮100 中字头股票 国企改革 同花顺中特估100 央企国企改革 中航系 航空航天 反恐,2024-11-08
688502.XSHG,茂莱光学科,14:53,14:55,305.99,1,20.0,光刻机（胶）,光刻机（胶） 公司为精密光学综合解决方案更多...,光刻机 光刻胶 芯片概念 专精特新 无人驾驶 机器视觉 平安资管持股,2024-11-08
002086.XSHE,东方海洋,09:25,14:56,3.3,3,10.0,大农业,大农业 公司主要从事海水苗种繁育、更多...,幽门螺杆菌概念 健康中国 基因测序 食品安全 预制菜 抗原检测 摘帽 胶原蛋白 体外诊断,2024-11-08
002248.XSHE,华东数控,10:28,14:56,10.34,1,10.0,智能制造,智能制造 国内少数同时具备生产数控机更多...,工业母机 高端装备 新型工业化 智能制造 铁路基建,2024-11-08
300201.XSHE,海伦哲创,10:12,14:56,5.82,1,20.0,机器人,机器人 1、参股公司新宇智能是国内更多...,核污染防治 工业互联网 工业4.0 机器人概念 军工 锂电池概念 军民融合 智能电网 电力物联网 分拆上市意愿 工业机器人 消防装备,2024-11-08
600692.XSHG,亚通股份,09:25,14:56,8.7,3,9.99,大农业,大农业 1、上海崇明国资委旗下房地更多...,土地流转 上海国企改革 光伏建筑一体化 生态农业 创投 粮食概念 光伏概念 国企改革 文化传媒概念 农业种植 乡村振兴 新零售 绿色电力 2024中报预增 地方国企改革 保障房 农信社改革 美丽中国 村镇银行,2024-11-08
